,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
20/723 Orrong Rd,flat,3,,,,,,940000.0,RT,2017-10-14,Toorak,4.1,,,Southern Metropolitan
20/8 Robert St,flat,1,,,,,,291500.0,hockingstuart,2017-09-12,Elwood,7.2,,,Southern Metropolitan
20/84 Hillcrest Dr,townhouse,3,1.0,2.0,141.0,,2012.0,500000.0,Barry,2017-05-27,Westmeadows,16.5,-37.67941,144.8764,Northern Metropolitan
20/85 Nicholson St,flat,3,,,,,,,,,Abbotsford,3.0,,,Northern Metropolitan
20/9 Fabian Ct,townhouse,2,1.0,1.0,83.0,88.0,1980.0,429000.0,Trimson,2017-03-18,Maribyrnong,8.7,-37.7732,144.8927,Western Metropolitan
20/93 Argyle St,flat,2,,,,,,515000.0,Marshall,2017-11-11,St Kilda,5.0,,,Southern Metropolitan
200 McBryde St,house,3,1.0,2.0,650.0,,,700000.0,Ray,2017-06-05,Fawkner,12.4,-37.7023,144.9773,Northern Metropolitan
200 Miller St,house,3,2.0,2.0,285.0,,,,,,Fitzroy North,3.5,-37.7773,144.987,Northern Metropolitan
200 Nicholson St,house,2,1.0,0.0,182.0,82.0,1900.0,1012500.0,Nelson,2016-05-28,Abbotsford,2.5,-37.8021,144.9976,Northern Metropolitan
200 Osborne St,house,5,2.0,3.0,1019.0,278.0,1915.0,,,,Williamstown,8.0,-37.8642,144.8915,Western Metropolitan
200 Railway Pde,house,3,1.0,1.0,637.0,,,650000.0,REMAX,2017-08-07,Noble Park,22.7,-37.97593,145.18931,South-Eastern Metropolitan
200 Somerville Rd,house,3,1.0,1.0,350.0,114.0,1950.0,760000.0,Chambers,2016-10-12,Kingsville,7.8,-37.8123,144.8805,Western Metropolitan
200 South Rd,house,4,1.0,1.0,1000.0,203.0,1960.0,1920000.0,Nick,2017-11-02,Brighton East,10.7,-37.931,145.0163,Southern Metropolitan
200 Vere St,house,3,1.0,,241.0,,,1540000.0,Nelson,2017-10-21,Abbotsford,3.0,-37.80273,144.99646,Northern Metropolitan
200 West St,house,4,1.0,3.0,697.0,133.0,1960.0,780000.0,Eview,2017-06-17,Glenroy,11.2,-37.70159,144.93948,Northern Metropolitan
2002 Malvern Rd,flat,2,1.0,1.0,129.0,97.0,1940.0,651000.0,Jellis,2017-08-26,Malvern East,8.4,-37.87798,145.06731000000005,Southern Metropolitan
2005/39 Coventry St,flat,2,3.0,1.0,0.0,,2013.0,690000.0,Greg,2016-04-23,Southbank,1.2,-37.8295,144.9692,Southern Metropolitan
2007/2 Newquay Prm,flat,3,,,,,,,,,Docklands,1.9,,,Southern Metropolitan
2009/568 Collins St,flat,1,,,,,,,,,Melbourne,0.0,,,Northern Metropolitan
201 Ashworth St,house,3,1.0,0.0,88.0,130.0,2000.0,,,,Middle Park,3.0,-37.85472,144.9646,Southern Metropolitan
201 Buckley St,house,2,1.0,0.0,298.0,88.0,1900.0,680000.0,hockingstuart,2017-09-23,Seddon,5.1,-37.80257,144.88811,Western Metropolitan
201 Elizabeth St,house,3,2.0,2.0,260.0,25.0,2010.0,825000.0,Barry,2017-07-10,Coburg North,6.7,-37.72699,144.98418,Northern Metropolitan
201 Essex St,house,3,1.0,2.0,390.0,96.0,1940.0,870000.0,Jas,2017-10-21,West Footscray,6.4,-37.79256,144.86715,Western Metropolitan
201 Gooch St,house,3,1.0,2.0,470.0,151.0,1950.0,1271000.0,Nelson,2017-08-26,Thornbury,7.0,-37.75937,145.01533999999995,Northern Metropolitan
201 Gore St,house,6,,,,,,2590000.0,Nelson,2017-07-22,Fitzroy,2.1,,,Northern Metropolitan
201 Heatherhill Rd,house,3,1.0,2.0,648.0,,,,,,Frankston,38.0,-38.1632,145.158,South-Eastern Metropolitan
201 Hope St,house,2,1.0,1.0,177.0,87.0,1910.0,711000.0,Nelson,2016-04-16,Brunswick West,5.9,-37.7619,144.9412,Northern Metropolitan
201 McIlwraith St,house,3,2.0,2.0,111.0,,,1150000.0,Nelson,2017-10-28,Princes Hill,3.5,-37.77976,144.96862,Northern Metropolitan
201 Morris Rd,house,4,2.0,4.0,,,,680000.0,Benlor,2018-03-02,Hoppers Crossing,18.4,-37.86717,144.70313000000004,Western Metropolitan
201 Roseneath St,townhouse,3,2.0,1.0,,,,1330000.0,Jellis,2017-08-19,Clifton Hill,3.6,-37.79318,145.00172,Northern Metropolitan
201 Stokes St,house,2,2.0,,197.0,,,1515000.0,Marshall,2017-08-26,Port Melbourne,3.5,-37.83754,144.93954,Southern Metropolitan
201/102 Rankins Rd,flat,2,2.0,2.0,0.0,74.0,2015.0,876000.0,Rendina,2017-06-24,Kensington,3.4,,,Northern Metropolitan
201/115 Tennyson St,flat,2,2.0,1.0,799.0,110.0,2012.0,932000.0,Gary,2017-02-25,Elwood,7.7,-37.8818,144.9918,Southern Metropolitan
201/1177 Glen Huntly Rd,flat,2,1.0,1.0,0.0,,,445000.0,Woodards,2016-09-24,Glen Huntly,10.4,-37.8894,145.0431,Southern Metropolitan
201/150 Clarendon St,flat,2,2.0,2.0,0.0,,,,,,East Melbourne,1.5,-37.8122,144.9835,Northern Metropolitan
201/152 Peel St,flat,2,1.0,1.0,0.0,61.6,2012.0,560000.0,hockingstuart,2017-07-29,Windsor,4.6,-37.85581,144.99025,Southern Metropolitan
201/2 Rouse St,flat,2,1.0,1.0,,85.0,2005.0,600000.0,Buxton,2017-09-09,Port Melbourne,3.5,-37.84432,144.94371999999996,Southern Metropolitan
201/218 Lygon St,flat,2,1.0,1.0,197.0,55.0,2012.0,435000.0,Jellis,2016-08-10,Brunswick East,4.5,-37.7717,144.9719,Northern Metropolitan
201/38 Nott St,flat,2,,,,,,790000.0,Marshall,2017-09-12,Port Melbourne,3.5,,,Southern Metropolitan
201/39 Mavho St,flat,2,,,,,,615000.0,Hodges,2016-12-11,Bentleigh,13.0,,,Southern Metropolitan
201/40 Harold St,flat,2,,,,,,890000.0,Space,2017-06-17,Hawthorn East,6.2,-37.82791,145.0545,Southern Metropolitan
201/5 Chapel Mw,flat,2,,,,,,765000.0,hockingstuart,2017-11-18,South Yarra,2.7,,,Southern Metropolitan
201/54 Nott St,flat,2,1.0,1.0,0.0,67.0,2004.0,,,,Port Melbourne,3.8,-37.8407,144.9389,Southern Metropolitan
201/61 Stawell St,flat,1,1.0,1.0,0.0,60.0,2008.0,410000.0,hockingstuart,2016-06-27,Richmond,2.6,-37.822,145.0104,Northern Metropolitan
201/63 Acland St,flat,1,1.0,1.0,1409.0,63.0,2000.0,430000.0,Buxton,2016-12-11,St Kilda,6.1,-37.8661,144.9772,Southern Metropolitan
201/64 Cross St,flat,2,,,,,,497000.0,Sweeney,2018-10-02,Footscray,5.1,,,Western Metropolitan
201/65 Stawell St,flat,2,2.0,2.0,0.0,89.0,2008.0,800000.0,hockingstuart,2017-07-15,Richmond,2.4,-37.82201,145.0104,Northern Metropolitan
201/766 Whitehorse Rd,flat,2,1.0,2.0,,102.0,2011.0,620000.0,Fletchers,2017-03-09,Mont Albert,10.2,-37.81667,145.11183,Eastern Metropolitan
201/77 Abinger St,flat,1,1.0,1.0,4425.0,51.0,2012.0,400000.0,Marshall,2017-09-23,Richmond,2.4,-37.82009,145.0038,Northern Metropolitan
201/8 Bangs St,flat,1,,,,,,329000.0,Thomson,2017-03-06,Prahran,4.6,,,Southern Metropolitan
201/8 Blanche St,flat,2,1.0,1.0,0.0,,,561000.0,hockingstuart,2016-05-14,St Kilda,6.1,-37.8653,144.9824,Southern Metropolitan
2013 Western Hwy,house,2,1.0,0.0,609.0,,,340000.0,YPA,2017-01-07,Rockbank,23.8,-37.73289000000001,144.66615,Western Metropolitan
201A Clauscen St,house,3,1.0,0.0,275.0,116.0,1915.0,1286000.0,Holland,2016-10-12,Fitzroy North,3.5,-37.7779,144.9862,Northern Metropolitan
202 Osborne St,house,4,2.0,4.0,,,,4020000.0,Williams,2017-11-25,Williamstown,6.8,-37.8642,144.8913,Western Metropolitan
202 Raglan St,house,3,1.0,2.0,349.0,120.0,1940.0,945000.0,McGrath,2017-03-06,Preston,8.4,-37.74946,145.00875,Northern Metropolitan
202 Railway Cr,house,3,,,,,,475000.0,YPA,2017-11-25,Dallas,14.0,,,Northern Metropolitan
202/115 Nott St,flat,2,2.0,1.0,0.0,,2012.0,720000.0,Chisholm,2016-05-22,Port Melbourne,3.8,-37.84,144.939,Southern Metropolitan
202/116 Martin St,flat,1,,,,,,525000.0,Jellis,2017-10-21,Brighton,10.5,,,Southern Metropolitan
202/179 Neerim Rd,flat,2,,,,,,685000.0,Buxton,2017-10-28,Carnegie,10.1,,,Southern Metropolitan
202/2 Rouse St,flat,2,1.0,1.0,6830.0,,,625000.0,Biggin,2017-03-06,Port Melbourne,3.5,-37.84432,144.94371999999996,Southern Metropolitan
202/24 Becket Av,flat,2,,,,,,420000.0,Buxton,2016-08-10,Bentleigh East,13.9,,,Southern Metropolitan
202/440 Docklands Dr,townhouse,4,2.0,2.0,0.0,,,1370000.0,Raine,2016-08-13,Docklands,1.9,-37.8141,144.9387,Southern Metropolitan
202/45 Rose St,flat,2,,,,,,,,,Fitzroy,1.6,,,Northern Metropolitan
202/47 Murphy St,flat,1,,,,,,458000.0,Biggin,2017-01-07,Richmond,2.4,,,Northern Metropolitan
202/51 Gordon St,flat,1,1.0,0.0,0.0,,2007.0,85000.0,Burnham,2016-03-09,Footscray,6.4,-37.7911,144.89,Western Metropolitan
202/52 Dow St,flat,1,1.0,1.0,0.0,,,470000.0,Marshall,2016-05-28,Port Melbourne,3.8,-37.8431,144.9403,Southern Metropolitan
202/639 Lonsdale St,flat,2,2.0,1.0,0.0,75.0,2014.0,,,,Melbourne,2.8,-37.8156,144.9531,Northern Metropolitan
202/7 Riversdale Rd,flat,2,,,,,,,,,Hawthorn,5.3,,,Southern Metropolitan
202/723 Toorak Rd,flat,2,,,,,,670000.0,Jellis,2017-06-24,Kooyong,5.9,,,Southern Metropolitan
202/8 Bond St,flat,2,2.0,2.0,0.0,86.0,2014.0,850000.0,Kay,2016-03-12,South Yarra,3.3,-37.8411,144.9944,Southern Metropolitan
202/800 Chapel St,flat,2,2.0,1.0,0.0,92.0,2002.0,840000.0,Beller,2017-02-25,South Yarra,3.3,-37.8361,144.9966,Southern Metropolitan
202/82 Epping Rd,flat,2,,,,,,300000.0,HAR,2018-06-01,Epping,19.6,,,Northern Metropolitan
202/88 Epping Rd,flat,2,,,,,,309000.0,HAR,2018-06-01,Epping,19.6,,,Northern Metropolitan
202/90 Beach St,flat,2,2.0,2.0,0.0,,2000.0,1480000.0,Cayzer,2017-12-08,Port Melbourne,3.5,-37.84068,144.93547,Southern Metropolitan
202/979 Heidelberg Rd,flat,2,,,,,,,,,Ivanhoe,7.8,,,Eastern Metropolitan
202A Warrigal Rd,house,3,1.0,2.0,488.0,,,,,,Camberwell,7.7,-37.84607000000001,145.09618,Southern Metropolitan
202b Edward St,house,3,2.0,0.0,185.0,,1998.0,1170000.0,Nelson,2016-10-15,Brunswick East,4.5,-37.7755,144.9744,Northern Metropolitan
203 Balcombe Rd,house,3,2.0,2.0,567.0,,1947.0,1291000.0,Buxton,2018-10-02,Beaumaris,17.3,-37.97962,145.04993000000005,Southern Metropolitan
203 Lawrence Rd,house,5,,,,,,1930000.0,McGrath,2017-07-15,Mount Waverley,14.2,,,Eastern Metropolitan
203 Mitchells La,house,4,2.0,2.0,,,,565000.0,Leeburn,2017-07-10,Sunbury,31.7,-37.5842,144.70145,Western Metropolitan
203 Munro St,house,4,1.0,1.0,856.0,189.0,1970.0,1400000.0,RE,2016-06-18,Coburg,7.8,-37.7432,144.9481,Northern Metropolitan
203 Separation St,house,3,1.0,2.0,534.0,119.0,1930.0,,,,Northcote,5.3,-37.77085,145.01256999999995,Northern Metropolitan
203 Station St,house,3,2.0,2.0,368.0,226.0,1880.0,2400000.0,Greg,2017-08-04,Port Melbourne,3.8,-37.8323,144.9463,Southern Metropolitan
203 Tyler St,house,3,1.0,7.0,556.0,,1920.0,1070000.0,Jellis,2017-07-10,Preston,8.4,-37.73164000000001,145.01801,Northern Metropolitan
203/1 Norfolk Pl,flat,2,,,,,,710000.0,Jellis,2016-10-15,Malvern,7.4,,,Southern Metropolitan
203/109 Anderson St,flat,2,,,,,,666300.0,Jas,2016-10-15,Yarraville,7.0,,,Western Metropolitan
203/11 Hillingdon Pl,flat,3,1.0,1.0,0.0,114.0,1900.0,710000.0,Edward,2016-04-06,Prahran,4.5,-37.8516,144.9943,Southern Metropolitan
203/1101 Toorak Rd,flat,2,2.0,1.0,,89.0,2012.0,,,,Camberwell,7.7,-37.84787,145.07498,Southern Metropolitan
203/113 Poath Rd,flat,2,1.0,1.0,0.0,,,,,,Murrumbeena,10.1,,,Southern Metropolitan
203/140 Gipps St,flat,2,2.0,2.0,0.0,150.0,2010.0,1935000.0,Nelson,2016-07-16,East Melbourne,1.5,-37.8127,144.9847,Northern Metropolitan
203/150 Peel St,flat,2,1.0,1.0,0.0,85.0,2005.0,598000.0,Alexkarbon,2016-11-27,North Melbourne,2.3,-37.8044,144.9566,Northern Metropolitan
203/179 Neerim Rd,flat,2,,,,,,640000.0,Buxton,2017-09-16,Carnegie,10.1,,,Southern Metropolitan
203/196 Albert Rd,flat,2,2.0,2.0,0.0,122.0,2001.0,1050000.0,Marshall,2016-09-17,South Melbourne,2.1,-37.8372,144.9672,Southern Metropolitan
203/24 Crimea St,flat,1,,,,,,400000.0,Wilson,2017-09-12,St Kilda,5.0,,,Southern Metropolitan
203/350 La Trobe St,flat,3,,,,,,940000.0,hockingstuart,2017-04-03,Melbourne,2.8,,,Northern Metropolitan
203/43 Duke St,flat,1,1.0,1.0,0.0,52.0,2012.0,400000.0,Whiting,2017-03-18,St Kilda,6.1,-37.8676,144.9901,Southern Metropolitan
203/551 Flinders La,flat,1,1.0,0.0,0.0,52.0,2000.0,275000.0,Whiting,2017-04-22,Melbourne,2.8,-37.8199,144.9558,Northern Metropolitan
203/60 Speakmen St,flat,1,,,,,,330000.0,Nelson,2016-05-28,Kensington,4.2,,,Northern Metropolitan
203/650 Centre Rd,flat,2,,,,,,586000.0,Buxton,2017-09-12,Bentleigh East,13.8,,,Southern Metropolitan
203/77 Village Wy,flat,2,,,,,,355000.0,Biggin,2017-08-04,Maribyrnong,8.7,,,Western Metropolitan
203/8 Murphy St,flat,3,,,,,,2300000.0,Kay,2017-09-23,South Yarra,2.7,,,Southern Metropolitan
203/964 Mt Alexander Rd,flat,1,1.0,1.0,0.0,50.0,,325000.0,Dingle,2017-08-04,Essendon,8.0,-37.7537,144.917,Western Metropolitan
203b Elizabeth St,townhouse,2,2.0,2.0,186.0,,,570000.0,Ray,2016-04-23,Coburg North,9.2,-37.7263,144.9843,Northern Metropolitan
204 Hawthorn Rd,house,4,2.0,2.0,650.0,159.0,1980.0,1202000.0,Ray,2017-09-23,Vermont South,17.2,-37.84919,145.17436,Eastern Metropolitan
204 Page St,house,6,4.0,2.0,472.0,328.0,1915.0,5600000.0,Marshall,2017-03-06,Middle Park,3.0,-37.85231,144.96373,Southern Metropolitan
204 Panorama Dr,house,4,3.0,2.0,20200.0,189.0,1985.0,780000.0,Raine,2017-09-09,Gisborne,45.9,-37.49674,144.62618,Northern Victoria
204/1 Major St,flat,2,,,,,,,,,Highett,16.0,,,Southern Metropolitan
204/10 Charles St,flat,1,,,,,,540000.0,Jellis,2017-11-11,Brunswick,5.2,,,Northern Metropolitan
204/2 Alexander St,flat,2,1.0,1.0,0.0,62.0,2012.0,533000.0,Jas,2016-08-22,Seddon,6.6,-37.8042,144.892,Western Metropolitan
204/2 Johnston St,flat,2,,,,,,380000.0,hockingstuart,2016-08-13,Collingwood,1.6,,,Northern Metropolitan
204/220 Commercial Rd,flat,2,1.0,2.0,4655.0,,,,,,Prahran,4.5,-37.847,144.9936,Southern Metropolitan
204/300 Swanston St,flat,2,1.0,1.0,0.0,66.0,2005.0,640000.0,Greg,2017-04-22,Melbourne,2.8,-37.8106,144.9646,Northern Metropolitan
204/32 La Scala,flat,2,,,,,,,,,Maribyrnong,8.7,,,Western Metropolitan
204/34 Union St,flat,2,1.0,1.0,2673.0,75.0,2010.0,,,,Brunswick,5.2,-37.77379000000001,144.9585,Northern Metropolitan
204/36 Lynch St,flat,2,2.0,1.0,0.0,,,500000.0,Gary,2017-05-27,Hawthorn,5.3,-37.8213,145.02913,Southern Metropolitan
204/368 Little Collins St,flat,1,,,,,,375000.0,Dingle,2016-09-24,Melbourne,2.8,,,Northern Metropolitan
204/37 Park St,flat,2,,,,,,,,,Elsternwick,7.2,,,Southern Metropolitan
204/380 Bay St,flat,3,,,,,,1500000.0,Marshall,2017-08-19,Brighton,10.5,-37.90596,145.00472,Southern Metropolitan
204/4 Hotham Rd,flat,3,1.0,1.0,1218.0,94.0,2012.0,500000.0,Nelson,2017-04-29,Niddrie,11.2,-37.736,144.8886,Western Metropolitan
204/52 Nott St,flat,2,1.0,1.0,7159.0,61.0,2008.0,575000.0,Biggin,2017-05-13,Port Melbourne,3.8,-37.841,144.9386,Southern Metropolitan
204/55 Islington St,flat,1,,,,,,450000.0,Purplebricks,2017-09-12,Collingwood,2.0,,,Northern Metropolitan
204/7 Brighton Rd,flat,2,,,,,,,,,St Kilda,5.0,,,Southern Metropolitan
204/8 Balmain St,flat,1,1.0,1.0,0.0,,2007.0,405000.0,Dingle,2016-07-16,Cremorne,2.5,-37.8299,144.9907,Northern Metropolitan
204/8 Bangs St,flat,1,,,,,,427000.0,Williams,2016-08-22,Prahran,4.5,,,Southern Metropolitan
204/85 Leveson St,flat,2,,,,,,687000.0,Alexkarbon,2017-11-25,North Melbourne,1.8,,,Northern Metropolitan
204/88 Hudsons Rd,house,1,,,,,,,,,Spotswood,6.2,,,Western Metropolitan
2049 Malvern Rd,house,3,2.0,2.0,568.0,,1938.0,,,,Malvern East,11.2,-37.8752,145.0656,Southern Metropolitan
205 Clark St,house,4,1.0,1.0,190.0,,,1375000.0,hockingstuart,2017-04-29,Port Melbourne,3.8,-37.833,144.9377,Southern Metropolitan
205 Clarke St,house,3,1.0,0.0,326.0,125.0,1905.0,1512000.0,Jellis,2017-05-27,Northcote,5.3,-37.77664,144.99902,Northern Metropolitan
205 Douglas Pde,house,4,2.0,2.0,290.0,179.0,2009.0,1230000.0,RT,2017-11-11,Newport,6.2,-37.8502,144.8939,Western Metropolitan
205 Heath St,house,2,1.0,0.0,120.0,76.0,1900.0,1115000.0,Chisholm,2016-12-11,Port Melbourne,3.8,-37.8322,144.947,Southern Metropolitan
205 High St,house,3,1.0,2.0,796.0,,,2025000.0,Jellis,2016-11-27,Templestowe Lower,13.8,-37.7726,145.1149,Eastern Metropolitan
205 Mitchell St,house,3,1.0,2.0,504.0,,,1516000.0,Barry,2017-06-17,Northcote,5.3,-37.77358,145.01286000000005,Northern Metropolitan
205 Montague St,house,3,1.0,0.0,139.0,,,,,,South Melbourne,1.9,-37.83457,144.95316,Southern Metropolitan
205 Punt Rd,house,3,2.0,0.0,190.0,156.0,1900.0,1100000.0,Jellis,2017-10-14,Richmond,2.4,-37.81852,144.99008,Northern Metropolitan
205 Scotchmer St,house,3,2.0,0.0,202.0,307.0,1898.0,2150000.0,Nelson,2016-11-27,Fitzroy North,3.5,-37.7835,144.9867,Northern Metropolitan
205/1 Wallace Av,flat,3,,,,,,2100000.0,RT,2016-09-17,Toorak,4.6,,,Southern Metropolitan
205/101 Bay St,flat,2,1.0,1.0,0.0,,,,,,Port Melbourne,3.8,-37.8408,144.94,Southern Metropolitan
205/1177 Glen Huntly Rd,flat,1,1.0,1.0,0.0,48.0,2012.0,,,,Glen Huntly,10.4,-37.8894,145.0431,Southern Metropolitan
205/15 Pickles St,flat,2,1.0,1.0,0.0,61.0,2005.0,600000.0,hockingstuart,2017-04-29,Port Melbourne,3.8,-37.8443,144.9442,Southern Metropolitan
205/172 Rupert St,flat,1,1.0,1.0,0.0,,2013.0,,,,West Footscray,8.2,-37.7977,144.8638,Western Metropolitan
205/18 Station St,flat,2,,,,,,516000.0,Chisholm,2017-03-06,Sandringham,15.2,,,Southern Metropolitan
205/20 Pier La,flat,3,2.0,2.0,2132.0,,2011.0,,,,Maribyrnong,8.7,-37.7853,144.8999,Western Metropolitan
205/201 High St,flat,2,1.0,1.0,0.0,,,475000.0,hockingstuart,2017-04-29,Prahran,4.5,-37.8519,144.9948,Southern Metropolitan
205/30 St Andrews Pl,flat,1,1.0,1.0,0.0,60.0,1990.0,895000.0,Kay,2017-07-22,East Melbourne,1.3,-37.81177,144.97617,Northern Metropolitan
205/37 Palmerston St,flat,2,2.0,1.0,0.0,67.0,2013.0,600000.0,Woodards,2016-05-22,Carlton,1.8,-37.7969,144.9742,Northern Metropolitan
205/46 Cambridge St,flat,1,,,,,,550000.0,Jellis,2017-08-19,Collingwood,2.0,,,Northern Metropolitan
205/50 Dow St,flat,2,1.0,1.0,0.0,,,730000.0,MICM,2016-12-11,Port Melbourne,3.8,-37.8431,144.9403,Southern Metropolitan
205/56 Harp Rd,flat,2,,,,,,727500.0,Fletchers,2016-07-26,Kew,5.6,,,Southern Metropolitan
205/60 Wellington St,flat,1,1.0,1.0,,,2010.0,,,,St Kilda,5.0,-37.85701,144.98671000000004,Southern Metropolitan
205/7 Ordnance Res,flat,2,2.0,1.0,0.0,91.0,1930.0,,,,Maribyrnong,8.7,-37.7706,144.8798,Western Metropolitan
205/72 Altona St,flat,1,1.0,1.0,0.0,56.0,2008.0,400000.0,Edward,2017-05-27,Kensington,3.4,-37.79741,144.92614,Northern Metropolitan
205/88 Dow St,flat,2,1.0,1.0,0.0,,,730000.0,Buxton,2017-04-22,Port Melbourne,3.8,-37.842,144.9413,Southern Metropolitan
205/96 Charles St,flat,1,1.0,1.0,0.0,57.0,2013.0,490000.0,hockingstuart,2017-07-15,Fitzroy,2.1,-37.80348,144.98256999999995,Northern Metropolitan
2059 Malvern Rd,house,3,1.0,2.0,572.0,,,1380000.0,Buxton,2017-08-04,Malvern East,11.2,-37.8757,145.066,Southern Metropolitan
206 Bell St,house,4,2.0,3.0,614.0,181.0,1920.0,1090000.0,Jellis,2018-06-01,Coburg,6.7,-37.74043,144.95909,Northern Metropolitan
206 Blyth St,house,2,1.0,2.0,,95.0,1900.0,1065000.0,Barry,2017-09-12,Brunswick East,4.0,-37.76737,144.97901000000005,Northern Metropolitan
206 Clarendon St,house,3,2.0,2.0,161.0,122.0,2012.0,,,,Thornbury,7.0,-37.76157,145.01803999999996,Northern Metropolitan
206 Dundas St,house,5,2.0,6.0,732.0,191.0,1950.0,,,,Thornbury,6.5,-37.7547,145.0215,Northern Metropolitan
206 Hansworth St,house,5,,,,,,1150000.0,Barry,2017-11-18,Mulgrave,18.8,,,South-Eastern Metropolitan
206 Manningham Rd,house,4,2.0,2.0,723.0,159.0,1970.0,1225000.0,Ray,2016-07-05,Bulleen,11.8,-37.7724,145.1033,Eastern Metropolitan
206 Montague St,house,2,1.0,0.0,109.0,78.0,1900.0,1355000.0,Marshall,2017-09-09,South Melbourne,1.9,-37.83423,144.95243,Southern Metropolitan
206 Nott St,house,2,1.0,1.0,159.0,,,1130000.0,Marshall,2016-05-22,Port Melbourne,3.8,-37.8356,144.9436,Southern Metropolitan
206 Richardson St,house,2,,,,,,1100000.0,Nelson,2016-04-16,Princes Hill,3.7,,,Northern Metropolitan
206 South Rd,house,4,3.0,2.0,798.0,,,1725000.0,Hodges,2016-11-19,Brighton East,10.7,-37.9311,145.0169,Southern Metropolitan
206 Stewart St,house,3,,,,,,,,,Brunswick East,4.0,,,Northern Metropolitan
206 Stockmans Wy,townhouse,2,,,,,,781000.0,Edward,2017-11-02,Kensington,4.2,,,Northern Metropolitan
206 Waiora Rd,house,4,1.0,4.0,1613.0,,,1610000.0,Bekdon,2016-06-18,Rosanna,11.4,-37.7324,145.0606,Eastern Metropolitan
206/100 Hawthorn Rd,flat,2,,,,,,,,,Caulfield North,7.8,,,Southern Metropolitan
206/11 Hillingdon Pl,flat,2,1.0,1.0,0.0,106.0,2000.0,,,,Prahran,4.5,-37.8516,144.9943,Southern Metropolitan
206/24 Becket Av,flat,1,,,,,,,,,Bentleigh East,13.8,,,Southern Metropolitan
206/250 Barkly St,flat,2,,,,,,407500.0,Sweeney,2017-09-12,Footscray,5.1,,,Western Metropolitan
206/26 Beaurepaire Pde,flat,1,1.0,1.0,,50.0,2015.0,373000.0,Jas,2017-09-23,Footscray,5.1,-37.79975,144.88368,Western Metropolitan
206/28 Riddell Pde,flat,2,,,,,,,,,Elsternwick,8.5,,,Southern Metropolitan
206/325 Collins St,flat,2,,,,,,465000.0,Dingle,2017-07-10,Melbourne,0.0,,,Northern Metropolitan
206/35 Ormond Rd,flat,1,1.0,1.0,1192.0,44.0,2009.0,435000.0,Wilson,2017-08-07,Elwood,7.2,-37.88306,144.9841,Southern Metropolitan
206/361 Glenferrie Rd,flat,2,2.0,2.0,0.0,123.0,2002.0,,,,Malvern,7.4,-37.851,145.03,Southern Metropolitan
206/424 Gore St,flat,1,1.0,1.0,0.0,62.0,,458000.0,hockingstuart,2016-06-27,Fitzroy,1.6,-37.7964,144.9839,Northern Metropolitan
206/8 Bangs St,flat,1,,,,,,,,,Prahran,4.5,,,Southern Metropolitan
206/8 Breavington Wy,flat,2,,,,,,,,,Northcote,5.5,,,Northern Metropolitan
206/97 Flemington Rd,flat,1,1.0,1.0,0.0,51.0,2011.0,,,,North Melbourne,2.3,-37.7984,144.9528,Northern Metropolitan
207 Collins St,house,2,1.0,2.0,,92.0,1950.0,1025000.0,Nelson,2017-10-21,Thornbury,7.0,-37.75625,145.02194,Northern Metropolitan
207 Glengala Rd,house,3,1.0,2.0,,,,740000.0,Barry,2017-11-11,Sunshine West,10.5,-37.788,144.8039,Western Metropolitan
207 Gooch St,house,2,1.0,2.0,,,,1545000.0,The,2017-09-09,Thornbury,7.0,-37.75943,145.0158,Northern Metropolitan
207 Nott St,flat,2,,,,,,,,,Port Melbourne,3.8,,,Southern Metropolitan
207 Rattray Rd,house,3,1.0,1.0,1285.0,,,960000.0,Fletchers,2017-01-07,Montmorency,16.2,-37.716,145.13452,Eastern Metropolitan
207 Waterdale Rd,house,2,1.0,0.0,620.0,114.0,1920.0,1320000.0,Miles,2017-08-07,Ivanhoe,7.8,-37.76091,145.04437,Eastern Metropolitan
207/1005 Mt Alexander Rd,flat,2,2.0,1.0,0.0,,2014.0,,,,Essendon,7.5,-37.74778,144.91196000000005,Western Metropolitan
207/12 Coppin St,flat,2,2.0,1.0,0.0,76.0,2013.0,660000.0,Jellis,2016-11-19,Richmond,2.6,-37.8166,145.0036,Northern Metropolitan
207/152 Peel St,flat,2,2.0,1.0,0.0,78.0,2012.0,580000.0,Jellis,2016-03-09,Windsor,5.1,-37.8558,144.9903,Southern Metropolitan
207/17 Riversdale Rd,flat,1,,,,,,390000.0,LITTLE,2016-12-06,Hawthorn,4.6,,,Southern Metropolitan
207/182 Barkly St,flat,1,1.0,0.0,1018.0,40.0,2009.0,,,,St Kilda,6.1,-37.8686,144.9812,Southern Metropolitan
207/21 Belsize Av,flat,2,,,,,,576800.0,Woodards,2017-11-02,Carnegie,11.4,,,Southern Metropolitan
207/416 Gore St,flat,2,2.0,2.0,2122.0,,,,,,Fitzroy,1.6,-37.7967,144.9836,Northern Metropolitan
207/493 Victoria St,flat,2,1.0,1.0,75.0,66.0,2007.0,510000.0,McGrath,2017-08-07,West Melbourne,3.1,-37.80473,144.9435,Northern Metropolitan
207/78 Inkerman St,flat,1,,,,,,,,,St Kilda,6.1,-37.8643,144.9844,Southern Metropolitan
