Address;Suburb;DistanceFromCenter;Lattitude;Longtitude;Regionname
12/45 Woolton Av;Thornbury;7,0;-37,76105;144,99532;Northern Metropolitan
1a Woorigoleen Rd;Toorak;4,1;-37,84342;145,01693999999998;Southern Metropolitan
2115/18 Mt Alexander Rd;Travancore;4,3;-37,784659999999995;144,93829;Western Metropolitan
2/28 Broadmeadows Rd;Tullamarine;12,9;-37,705859999999994;144,87947;Western Metropolitan
3/20 Waratah Av;Tullamarine;12,9;-37,70496;144,88314;Western Metropolitan
18 Barbara St;Vermont;17,2;-37,8324;145,20467;Eastern Metropolitan
23 Bartram Ri;Viewbank;8,9;;;Eastern Metropolitan
509 Boronia Rd;Wantirna;14,7;-37,852090000000004;145,24268;Eastern Metropolitan
42 Argyle Wy;Wantirna South;14,7;-37,88009;145,22736;Eastern Metropolitan
12/440 Stud Rd;Wantirna South;14,7;-37,87615;145,23192;Eastern Metropolitan
24 Fossickers Wy;Warrandyte;21,1;-37,75079;145,20617;Eastern Metropolitan
2/63 Devonshire Rd;Watsonia;14,5;-37,71298;145,08115;Northern Metropolitan
1/34 Longmuir Rd;Watsonia;14,5;-37,71098;145,08926;Northern Metropolitan
4/6 Powley Pde;Watsonia;14,5;;;Northern Metropolitan
280 Grimshaw St;Watsonia North;14,5;-37,70255;145,08578;Northern Metropolitan
7 Carey Cl;Werribee;14,7;-37,89278;144,63568;Western Metropolitan
6 Cassowary Av;Werribee;14,7;-37,87975;144,66459;Western Metropolitan
3 Gavan Ct;Werribee;14,7;-37,89074;144,65677;Western Metropolitan
9 Kestrel Pl;Werribee;14,7;-37,87628;144,66481000000002;Western Metropolitan
2/50 Tower Rd;Werribee;14,7;-37,90423;144,67008;Western Metropolitan
3/30 Beaumont Pde;West Footscray;6,4;-37,80728;144,86702;Western Metropolitan
41 Dongola Rd;West Footscray;6,4;-37,79433;144,88001;Western Metropolitan
208/432 Geelong Rd;West Footscray;6,4;;;Western Metropolitan
5/2 Ormond Rd;West Footscray;6,4;-37,80735;144,87361;Western Metropolitan
310/53 Batman St;West Melbourne;3,1;-37,810959999999994;144,95147;Northern Metropolitan
74 Dudley St;West Melbourne;3,1;-37,808840000000004;144,95291;Northern Metropolitan
27 Eyre St;Westmeadows;16,5;-37,67823;144,90001999999998;Northern Metropolitan
994 Waverley Rd;Wheelers Hill;16,7;-37,8921;145,19118;South-Eastern Metropolitan
47 Pasco St;Williamstown;6,8;-37,86159;144,89926;Western Metropolitan
19 Atkinson Cl;Windsor;4,6;-37,85696;144,9966;Southern Metropolitan
24 Edenvale Bvd;Wollert;25,5;-37,619440000000004;145,01243;Northern Metropolitan
13 Strathalbyn Ch;Wollert;25,5;;;Northern Metropolitan
12 Suffolk Pl;Wollert;25,5;-37,60994;145,03218999999999;Northern Metropolitan
3/20 Lady Penrhyn Dr;Wyndham Vale;27,2;;;Western Metropolitan
27 Ribblesdale Av;Wyndham Vale;27,2;-37,89561;144,61726000000002;Western Metropolitan
1 Bimbadeen Cr;Yallambie;12,7;-37,724959999999996;145,10413;Northern Metropolitan
17 Adeney St;Yarraville;6,3;-37,81662;144,866;Western Metropolitan
86 Francis St;Yarraville;6,3;-37,82116;144,89181000000002;Western Metropolitan
12 Montague St;Yarraville;6,3;-37,81183;144,88568999999998;Western Metropolitan
220 Roberts St;Yarraville;6,3;-37,81796;144,8681;Western Metropolitan
101 Charles St;Abbotsford;3,0;-37,805859999999996;144,99499;Northern Metropolitan
133 Yarra St;Abbotsford;3,0;-37,802690000000005;145,0001;Northern Metropolitan
45 Afton St;Aberfeldie;7,5;-37,76027;144,88953999999998;Western Metropolitan
45A Afton St;Aberfeldie;7,5;-37,76035;144,88953;Western Metropolitan
4/37 St Kinnord St;Aberfeldie;7,5;-37,75875;144,9027;Western Metropolitan
6/39 St Kinnord St;Aberfeldie;7,5;-37,75882;144,9027;Western Metropolitan
18 Valencia St;Aberfeldie;7,5;-37,761109999999995;144,89845;Western Metropolitan
11 Bedford St;Airport West;10,4;-37,720909999999996;144,87856000000002;Western Metropolitan
6/6 Etzel St;Airport West;10,4;-37,721579999999996;144,8801;Western Metropolitan
3/81 McIntosh St;Airport West;10,4;;;Western Metropolitan
16 Cain Ct;Altona;11,0;-37,863170000000004;144,83927;Western Metropolitan
1/26 Maidstone St;Altona;11,0;-37,87171;144,81273000000002;Western Metropolitan
72 McIntyre Dr;Altona;11,0;-37,8581;144,82412;Western Metropolitan
174 Queen St;Altona;11,0;-37,8703;144,82336;Western Metropolitan
64 Queen St;Altona;11,0;-37,87057;144,83623;Western Metropolitan
6 Rose St;Altona;11,0;-37,87115;144,8189;Western Metropolitan
52 Shirley St;Altona Meadows;15,5;-37,87019;144,7843;Western Metropolitan
12 Chambers Rd;Altona North;9,4;-37,84107;144,84179;Western Metropolitan
131 Chambers Rd;Altona North;9,4;-37,827870000000004;144,84364;Western Metropolitan
313 Millers Rd;Altona North;9,4;-37,84384;144,84637;Western Metropolitan
2/16 Stapley Cr;Altona North;9,4;-37,83658;144,86199;Western Metropolitan
48 McLaughlin St;Ardeer;12,8;-37,781040000000004;144,80357;Western Metropolitan
2/579 Dandenong Rd;Armadale;6,3;-37,86462;145,02469;Southern Metropolitan
16/74 Denbigh Rd;Armadale;6,3;-37,85549;145,0163;Southern Metropolitan
2/41 Sandown Rd;Ascot Vale;4,3;-37,78329;144,91842;Western Metropolitan
67 The Parade;Ascot Vale;4,3;-37,772659999999995;144,9131;Western Metropolitan
85 The Parade;Ascot Vale;4,3;-37,77255;144,91213;Western Metropolitan
13 Baird St;Ashburton;10,2;-37,869040000000005;145,07691;Southern Metropolitan
5 Kiewa St;Ashwood;10,2;-37,86162;145,11042;Southern Metropolitan
47B Vannam Dr;Ashwood;10,2;-37,863240000000005;145,10289;Southern Metropolitan
14 Ebb St;Aspendale;21,5;-38,01596;145,09932;South-Eastern Metropolitan
8A Lawrence Av;Aspendale;21,5;;;South-Eastern Metropolitan
12 Pacific Dr;Aspendale Gardens;21,5;-38,01958;145,12356;South-Eastern Metropolitan
26 Clarendon St;Avondale Heights;9,5;-37,76518;144,85621;Western Metropolitan
49 Ridge Dr;Avondale Heights;9,5;-37,7528;144,85585;Western Metropolitan
55 Ridge Dr;Avondale Heights;9,5;-37,75261;144,85631;Western Metropolitan
1/40 Sycamore Gr;Balaclava;6,4;-37,87404;144,996;Southern Metropolitan
7 Austin St;Balwyn;7,9;-37,81098;145,0753;Southern Metropolitan
9/3 Boston Rd;Balwyn;7,9;-37,81675;145,07716000000002;Southern Metropolitan
5 Tedstone Cr;Balwyn;7,9;-37,811609999999995;145,07622;Southern Metropolitan
7 Adeney St;Balwyn North;9,7;-37,80218;145,10063;Southern Metropolitan
1120 Burke Rd;Balwyn North;9,7;-37,794940000000004;145,06382;Southern Metropolitan
4 Carrington St;Balwyn North;9,7;-37,80275;145,08411999999998;Southern Metropolitan
67 Winfield Rd;Balwyn North;9,7;-37,79497;145,10538;Southern Metropolitan
6 Larne Av;Bayswater;23,2;;;Eastern Metropolitan
12 Windsor Dr;Beaconsfield;39,0;-38,05614;145,38464;Eastern Victoria
16A Coronet Gr;Beaumaris;17,3;-37,98453;145,02659;Southern Metropolitan
9 Sullivan St;Bellfield;8,8;-37,7528;145,04443999999998;Eastern Metropolitan
11 Buckingham Av;Bentleigh;11,4;-37,91722;145,04836;Southern Metropolitan
34b Marquis Rd;Bentleigh;11,4;;;Southern Metropolitan
22 Mortimore St;Bentleigh;11,4;-37,92768;145,04268000000002;Southern Metropolitan
2/21 Vickery St;Bentleigh;11,4;-37,916270000000004;145,03892;Southern Metropolitan
12 Wood St;Bentleigh;11,4;-37,922109999999996;145,0466;Southern Metropolitan
1a Benina St;Bentleigh East;13,8;-37,9236;145,05913;Southern Metropolitan
2 Northgate Dr;Berwick;35,2;-38,064859999999996;145,35031;Eastern Victoria
5 Russel Av;Berwick;35,2;-38,02621;145,34635;Eastern Victoria
1/21 Lithgow Av;Blackburn;13,4;-37,818459999999995;145,148;Eastern Metropolitan
488 Middleborough Rd;Blackburn;13,4;-37,81112;145,14043;Eastern Metropolitan
2A Stewart Av;Blackburn South;13,4;-37,83574;145,14866;Eastern Metropolitan
41 Southey Rd;Boronia;25,0;-37,8424;145,29433999999998;Eastern Metropolitan
8/1 Via Media;Box Hill;10,9;-37,825;145,13345;Eastern Metropolitan
12/27 Marnoo St;Braybrook;8,6;-37,78893;144,84652;Western Metropolitan
4/3 Gleniffer Av;Brighton East;10,3;-37,931709999999995;145,03041000000002;Southern Metropolitan
10 Grant St;Brighton East;10,3;-37,9135;145,00846;Southern Metropolitan
8 Robinson St;Brighton East;10,3;-37,91921;145,02008;Southern Metropolitan
39 Blair St;Broadmeadows;14,0;-37,6821;144,92773;Northern Metropolitan
82 Cuthbert St;Broadmeadows;14,0;-37,6841;144,92818;Northern Metropolitan
4 Holberry St;Broadmeadows;14,0;-37,69142;144,93025;Northern Metropolitan
148 Donald St;Brunswick;5,2;-37,75887;144,97326;Northern Metropolitan
54 Dunstan Av;Brunswick;5,2;-37,75815;144,97366;Northern Metropolitan
9 First Av;Brunswick;5,2;-37,7556;144,95729;Northern Metropolitan
408/1 Brunswick Rd;Brunswick East;4,0;-37,77883;144,9776;Northern Metropolitan
315/408 Lygon St;Brunswick East;4,0;-37,76497;144,97306;Northern Metropolitan
1/78 Melville Rd;Brunswick West;5,2;;;Northern Metropolitan
22 Alma Rd;Bundoora;12,1;-37,69847;145,0601;Northern Metropolitan
43 Cheadle Cr;Bundoora;12,1;-37,692640000000004;145,0799;Northern Metropolitan
398 Grimshaw St;Bundoora;12,1;-37,7015;145,07548;Northern Metropolitan
35 Lenna St;Burwood East;14,7;-37,85425;145,13734;Eastern Metropolitan
17 Blackwood Ct;Cairnlea;14,8;-37,756370000000004;144,77983;Western Metropolitan
4 Lynden St;Camberwell;7,7;-37,83856;145,08602;Southern Metropolitan
17 Through Rd;Camberwell;7,7;-37,847570000000005;145,08815;Southern Metropolitan
66 Palmerston St;Carlton;1,6;-37,79633;144,97269;Northern Metropolitan
1/249 Rathdowne St;Carlton;1,6;-37,80128;144,96957;Northern Metropolitan
5/9 Cosy Gum Rd;Carnegie;10,1;-37,88415;145,0514;Southern Metropolitan
1/242 Koornang Rd;Carnegie;10,1;-37,89444;145,05625;Southern Metropolitan
3/1 Milton St;Carnegie;10,1;-37,88605;145,04986;Southern Metropolitan
7 Porter Rd;Carnegie;10,1;-37,89428;145,05733;Southern Metropolitan
9 Vine Gr;Carnegie;10,1;-37,89347;145,04772;Southern Metropolitan
2A Walden Gr;Carnegie;10,1;-37,90017;145,05812;Southern Metropolitan
15A Riversdale Av;Carrum;31,2;-38,07196;145,13036;South-Eastern Metropolitan
2/66 Whatley St;Carrum;31,2;;;South-Eastern Metropolitan
6/374 Dandenong Rd;Caulfield North;7,8;-37,86068;145,01121;Southern Metropolitan
3/22 Stapley Cr;Chadstone;11,7;-37,88923;145,0964;Southern Metropolitan
1/15 Cross Rd;Chelsea;27,0;-38,04602;145,1191;South-Eastern Metropolitan
10 Cronin Ct;Cheltenham;17,9;-37,96768;145,07966000000002;Southern Metropolitan
30 Nancy St;Cheltenham;17,9;-37,972229999999996;145,07895;Southern Metropolitan
11/165 Noone St;Clifton Hill;3,6;-37,79443;144,99944;Northern Metropolitan
35 Belgrave St;Coburg;6,7;-37,744820000000004;144,97499;Northern Metropolitan
1B Crozier St;Coburg;6,7;-37,74978;144,97738;Northern Metropolitan
41 Mayfield St;Coburg;6,7;-37,741279999999996;144,96124;Northern Metropolitan
92 Gold St;Collingwood;2,0;-37,79553;144,98995;Northern Metropolitan
53 Mater St;Collingwood;2,0;-37,79589;144,98863;Northern Metropolitan
55 Champion Pde;Craigieburn;20,6;-37,59732;144,89737;Northern Metropolitan
42 Excelsior Hts;Craigieburn;20,6;-37,57186;144,93495;Northern Metropolitan
11 Heytesbury Cr;Craigieburn;20,6;-37,6038;144,9226;Northern Metropolitan
30 Medway Rd;Craigieburn;20,6;-37,59175;144,93361000000002;Northern Metropolitan
22 Moresby Ct;Craigieburn;20,6;-37,5929;144,90742;Northern Metropolitan
60 Northumberland Cct;Craigieburn;20,6;-37,58242;144,93001;Northern Metropolitan
24 Paddington St;Craigieburn;20,6;-37,58025;144,92088;Northern Metropolitan
70 Penhall Dr;Craigieburn;20,6;-37,56883;144,90887;Northern Metropolitan
36 Serenity Wy;Craigieburn;20,6;-37,57635;144,91151000000002;Northern Metropolitan
6 Virtue Wy;Craigieburn;20,6;-37,59386;144,90008999999998;Northern Metropolitan
34 Windrock Av;Craigieburn;20,6;-37,57642;144,92997;Northern Metropolitan
8 Railway Cr;Croydon;23,0;-37,79327;145,28351999999998;Eastern Metropolitan
37 Benalla St;Dallas;14,0;-37,67283;144,93835;Northern Metropolitan
1 Caroline St;Dandenong;24,7;-37,98997;145,2254;South-Eastern Metropolitan
43 Fifth Av;Dandenong;24,7;-37,9788;145,20553999999998;South-Eastern Metropolitan
1462 Heatherton Rd;Dandenong;24,7;-37,96969;145,21043;South-Eastern Metropolitan
7 Belmont Av;Dandenong North;24,7;-37,96543;145,20338999999998;South-Eastern Metropolitan
7 Buchan St;Dandenong North;24,7;-37,94465;145,21236000000002;South-Eastern Metropolitan
4/193 Whitehorse Rd;Deepdene;7,9;-37,81143;145,07108;Southern Metropolitan
15 Abercairn Ct;Deer Park;14,8;-37,75907;144,75923999999998;Western Metropolitan
38 Salmond St;Deer Park;14,8;-37,76127;144,76758999999998;Western Metropolitan
11 Barley Ct;Delahey;18,0;-37,719;144,76699;Western Metropolitan
29 Kingsley Pl;Delahey;18,0;-37,72589;144,77991;Western Metropolitan
5 Alma Ct;Doncaster;12,4;-37,78109;145,13745;Eastern Metropolitan
2/763 Doncaster Rd;Doncaster;12,4;;;Eastern Metropolitan
18B Churchill St;Doncaster East;14,3;-37,78738;145,16033000000002;Eastern Metropolitan
45 Elizabeth St;Doncaster East;14,3;-37,792229999999996;145,14606;Eastern Metropolitan
30A Renshaw St;Doncaster East;14,3;;;Eastern Metropolitan
2/14 Talford St;Doncaster East;14,3;-37,79095;145,16461;Eastern Metropolitan
49 Lisbeth Av;Donvale;16,1;-37,802409999999995;145,19673999999998;Eastern Metropolitan
66 Lisbeth Av;Donvale;16,1;-37,80279;145,19974;Eastern Metropolitan
58 Cathedral Ri;Doreen;25,9;;;Northern Victoria
33 Kanooka Gr;Doveton;28,8;-37,99715;145,23526;South-Eastern Metropolitan
29/22 Agnes St;East Melbourne;1,3;-37,81773;144,98009;Northern Metropolitan
205/30 St Andrews Pl;East Melbourne;1,3;-37,81177;144,97617;Northern Metropolitan
9a Ivan Av;Edithvale;27,0;-38,0371;145,11717;South-Eastern Metropolitan
16 Allison Rd;Elsternwick;7,2;-37,881479999999996;145,00538999999998;Southern Metropolitan
4/49 Seymour Rd;Elsternwick;7,2;-37,88065;145,01112;Southern Metropolitan
1/1326 Main Rd;Eltham;18,0;-37,703179999999996;145,16467;Eastern Metropolitan
11 Byron St;Elwood;7,2;-37,87699;144,99097;Southern Metropolitan
1/3 Greig Ct;Elwood;7,2;-37,87872;144,98893999999999;Southern Metropolitan
7/59 Ormond Rd;Elwood;7,2;-37,88374;144,98518;Southern Metropolitan
4/6 Pine Av;Elwood;7,2;-37,88678;144,98855;Southern Metropolitan
13 Anglers Dr;Epping;19,6;-37,627559999999995;145,03364;Northern Metropolitan
111 Duffy St;Epping;19,6;-37,64151;145,02265;Northern Metropolitan
54 McDonalds Rd;Epping;19,6;-37,6455;145,0389;Northern Metropolitan
26 Paul Cr;Epping;19,6;-37,63521;145,0302;Northern Metropolitan
6 Shields St;Epping;19,6;-37,62894;145,00977;Northern Metropolitan
15 Robb St;Essendon;7,5;-37,757690000000004;144,91051000000002;Western Metropolitan
6/10 Violet St;Essendon;7,5;-37,75547;144,91326999999998;Western Metropolitan
18 Royal Av;Essendon North;8,2;-37,7384;144,90485;Western Metropolitan
115 Lorne St;Fawkner;13,1;-37,71532;144,96508;Northern Metropolitan
201 Gore St;Fitzroy;2,1;;;Northern Metropolitan
2 Eastham St;Fitzroy North;3,6;-37,78298;144,98623;Northern Metropolitan
15/60 Farnham St;Flemington;3,4;-37,78257;144,93106;Northern Metropolitan
107/250 Barkly St;Footscray;5,1;-37,79919;144,89607;Western Metropolitan
16 Creswick St;Footscray;5,1;-37,79334;144,89128;Western Metropolitan
15 Greer St;Footscray;5,1;-37,796859999999995;144,908;Western Metropolitan
12 Jerrold St;Footscray;5,1;-37,79221;144,89076;Western Metropolitan
2/66 Mahoneys Rd;Forest Hill;15,4;-37,837920000000004;145,16573;Eastern Metropolitan
19 Victor Cr;Forest Hill;15,4;-37,84308;145,168;Eastern Metropolitan
63 Dalpura Cct;Frankston;38,0;-38,13629;145,16902;South-Eastern Metropolitan
10 Yuluma Ct;Frankston;38,0;-38,13805;145,16668;South-Eastern Metropolitan
54 Moreton St;Frankston North;36,9;-38,11835;145,15753999999998;Eastern Victoria
18 Blaxland Av;Frankston South;38,0;-38,16762;145,13545;South-Eastern Metropolitan
8 Jinchilla Av;Frankston South;38,0;-38,18418;145,13918;South-Eastern Metropolitan
124 Carrick Dr;Gladstone Park;12,9;-37,695840000000004;144,89379;Western Metropolitan
11 Leura Ct;Gladstone Park;12,9;-37,69148;144,89873;Western Metropolitan
2/10 Osborne Av;Glen Iris;7,3;-37,85743;145,0468;Southern Metropolitan
8/12 Osborne Av;Glen Iris;7,3;-37,857240000000004;145,04681000000002;Southern Metropolitan
2/51 Avonhurst Dr;Glen Waverley;16,7;-37,899190000000004;145,14856;Eastern Metropolitan
24 Diamond Av;Glen Waverley;16,7;-37,871790000000004;145,17303;Eastern Metropolitan
2/11 Kinnoull Gr;Glen Waverley;16,7;-37,878890000000006;145,15538;Eastern Metropolitan
1/6 Kirstina Rd;Glen Waverley;16,7;-37,89017;145,1652;Eastern Metropolitan
32 Maylands Cr;Glen Waverley;16,7;-37,90383;145,17166;Eastern Metropolitan
2/40 The Outlook;Glen Waverley;16,7;-37,88425;145,17031;Eastern Metropolitan
25 Walter St;Glen Waverley;16,7;-37,86954;145,16429;Eastern Metropolitan
2 Wattletree Ct;Glen Waverley;16,7;-37,87942;145,17668;Eastern Metropolitan
2/32 Wilson Rd;Glen Waverley;16,7;-37,88599;145,17031;Eastern Metropolitan
4/39 Clovelly Av;Glenroy;11,2;-37,70691;144,90934;Northern Metropolitan
8 Granville St;Glenroy;11,2;-37,70198;144,92166;Northern Metropolitan
3/42 Harold St;Glenroy;11,2;-37,70628;144,92379;Northern Metropolitan
3/36 Isla Av;Glenroy;11,2;;;Northern Metropolitan
23 Bullanoo Ct;Greensborough;16,1;-37,689890000000005;145,10698;Northern Metropolitan
40 Patrick Cl;Greensborough;16,1;-37,684329999999996;145,12849;Northern Metropolitan
12 Bianca Cr;Greenvale;20,4;;;Northern Metropolitan
40 Frontier Av;Greenvale;20,4;;;Northern Metropolitan
41A Simmington Cct;Greenvale;20,4;-37,63995;144,89022;Northern Metropolitan
146 East St;Hadfield;11,2;-37,705420000000004;144,95127;Northern Metropolitan
99 Hilton St;Hadfield;11,2;-37,70325;144,94756999999998;Northern Metropolitan
5 Regent St;Hadfield;11,2;-37,70426;144,9445;Northern Metropolitan
15 David St;Hampton;13,8;-37,94229;145,01306;Southern Metropolitan
7 Exon St;Hampton;13,8;-37,934870000000004;145,00093;Southern Metropolitan
4/3 Kooyongkoot Rd;Hawthorn;5,3;-37,83032;145,03898999999998;Southern Metropolitan
11/36 Anderson Rd;Hawthorn East;6,2;-37,841390000000004;145,05045;Southern Metropolitan
91 Campbell St;Heathmont;21,3;-37,82734;145,24487;Eastern Metropolitan
61 Canterbury Rd;Heathmont;21,3;-37,825359999999996;145,24893;Eastern Metropolitan
37 Tagell Rd;Heathmont;21,3;-37,82359;145,24409;Eastern Metropolitan
15 Adamson St;Heidelberg;8,9;-37,74776;145,06217;Eastern Metropolitan
26 Bardia St;Heidelberg West;8,8;-37,74798;145,03765;Eastern Metropolitan
254 Liberty Pde;Heidelberg West;8,8;-37,74033;145,03696000000002;Eastern Metropolitan
9 Barnet St;Highett;16,0;-37,95008;145,03203;Southern Metropolitan
10 Haynes St;Highett;16,0;-37,94999;145,03122;Southern Metropolitan
13 Haynes St;Highett;16,0;-37,95023;145,03081;Southern Metropolitan
19 Jillian Av;Highett;16,0;-37,94712;145,02352;Southern Metropolitan
14A Telford St;Highett;16,0;;;Southern Metropolitan
3/2 Thistle Gr;Highett;16,0;;;Southern Metropolitan
93 Saronvale Cr;Hillside;18,0;-37,68974;144,75225;Western Metropolitan
46 Bourke Cr;Hoppers Crossing;18,4;-37,86991;144,68607;Western Metropolitan
2 Burge Cr;Hoppers Crossing;18,4;-37,86821;144,69566;Western Metropolitan
11 Dummett Av;Hoppers Crossing;18,4;-37,87185;144,68931;Western Metropolitan
13 Majella Ct;Hoppers Crossing;18,4;-37,85324;144,67619;Western Metropolitan
3/9 Clapham Rd;Hughesdale;12,3;-37,89369;145,08354;Southern Metropolitan
4/75 Green St;Ivanhoe;7,8;-37,7651;145,03452;Eastern Metropolitan
6/36 Livingstone St;Ivanhoe;7,8;-37,76758;145,03883000000002;Eastern Metropolitan
9 Sherwood Rd;Ivanhoe;7,8;-37,76688;145,04871;Eastern Metropolitan
12 Lorraine Cr;Jacana;14,0;-37,68306;144,90928;Northern Metropolitan
29 Robinson St;Jacana;14,0;-37,68619;144,91055;Northern Metropolitan
15 Bletchley Pl;Kealba;14,0;-37,7364;144,82556;Western Metropolitan
3 Border Dr;Keilor East;11,7;-37,73936;144,85873999999998;Western Metropolitan
28 Nyah St;Keilor East;11,7;-37,73421;144,86831999999998;Western Metropolitan
23 Phillip Rd;Keilor East;11,7;-37,74807;144,86927;Western Metropolitan
38 Wiltshire Dr;Kew;5,4;-37,794129999999996;145,02382;Southern Metropolitan
4/1240 Old Burke Rd;Kew East;7,3;-37,785709999999995;145,06282;Southern Metropolitan
261 Taylors Rd;Kings Park;14,0;-37,72765;144,78107;Western Metropolitan
2C Chatfield St;Kingsville;6,4;-37,8101;144,87928;Western Metropolitan
8 Carberry Dr;Kurunjang;31,7;-37,67277;144,59643;Northern Victoria
44 Greenhills Dr;Kurunjang;31,7;-37,67195;144,5788;Northern Victoria
60 Dickens St;Lalor;16,3;-37,66871;145,01;Northern Metropolitan
69 Monash St;Lalor;16,3;-37,6615;145,02761;Northern Metropolitan
17/165 North Rd;Langwarrin;41,0;-38,16404;145,18781;Eastern Victoria
67 Union Rd;Langwarrin;41,0;-38,15575;145,19516000000002;Eastern Victoria
1/15 Cherry St;MacLeod;12,7;;;Northern Metropolitan
73 Somers Av;MacLeod;12,7;;;Northern Metropolitan
43 Wungan St;MacLeod;12,7;;;Northern Metropolitan
88a Ballarat Rd;Maidstone;6,4;;;Western Metropolitan
12 Inkerman St;Maidstone;6,4;-37,786390000000004;144,88214;Western Metropolitan
33 Richelieu St;Maidstone;6,4;-37,788909999999994;144,87114;Western Metropolitan
26 Millewa Av;Malvern East;8,4;-37,88354;145,07536000000002;Southern Metropolitan
19 Bracken Av;Maribyrnong;4,3;-37,78671;144,89765;Western Metropolitan
7 Cavalry Cct;Maribyrnong;4,3;-37,77449;144,88011;Western Metropolitan
21 Lakeside Cr;Maribyrnong;4,3;;;Western Metropolitan
402/77 Village Wy;Maribyrnong;4,3;-37,77117;144,88041;Western Metropolitan
1/2 Dakara Cl;Meadow Heights;17,4;-37,64821;144,92526999999998;Northern Metropolitan
17/17 Queens Rd;Melbourne;0,0;;;Northern Metropolitan
602/300 Swanston St;Melbourne;0,0;-37,8106;144,96457;Northern Metropolitan
53 Barries Rd;Melton;31,7;-37,68905;144,57856999999998;Western Victoria
30 Bennett St;Melton South;29,8;-37,712109999999996;144,57703999999998;Western Victoria
8 Charles Ct;Melton South;29,8;-37,69467;144,57827;Western Victoria
6 Denny Pl;Melton South;29,8;-37,71691;144,57108;Western Victoria
39 First Av;Melton South;29,8;-37,700559999999996;144,57125;Western Victoria
7 Waratah St;Melton South;29,8;-37,70111;144,56705;Western Victoria
33 Westmelton Dr;Melton West;31,7;-37,6773;144,565;Northern Victoria
16 Williams St;Mentone;20,0;-37,97961;145,0678;South-Eastern Metropolitan
6 Burrell Wy;Mernda;25,9;;;Northern Metropolitan
30 Darvel Dr;Mernda;25,9;;;Northern Metropolitan
23 Stradling Ri;Mernda;25,9;;;Northern Metropolitan
3 Hillrise Ct;Mill Park;17,9;-37,66451;145,07451;Northern Metropolitan
4 Streeton Cct;Mill Park;17,9;-37,66916;145,06912;Northern Metropolitan
11 Beaufort St;Mitcham;17,2;-37,80588;145,1981;Eastern Metropolitan
1/17 Milne St;Mitcham;17,2;-37,81521;145,18726999999998;Eastern Metropolitan
1/141 Sherbourne Rd;Montmorency;16,2;-37,71219;145,13145;Eastern Metropolitan
14 Chaucer St;Moonee Ponds;6,2;-37,76956;144,92255;Western Metropolitan
16/122 Maribyrnong Rd;Moonee Ponds;6,2;-37,77149;144,91552;Western Metropolitan
7 Hedwig Dr;Mooroolbark;26,5;-37,76923;145,30882;Eastern Victoria
135B McDonald St;Mordialloc;21,5;;;South-Eastern Metropolitan
3/2 Woods Av;Mordialloc;21,5;-38,00331;145,09425;South-Eastern Metropolitan
86 Headingley Rd;Mount Waverley;14,2;-37,869170000000004;145,13572;Eastern Metropolitan
1 Therese Av;Mount Waverley;14,2;-37,89289;145,11501;Eastern Metropolitan
4/254 Waverley Rd;Mount Waverley;14,2;-37,8837;145,11526;Eastern Metropolitan
4 William St;Mount Waverley;14,2;-37,88043;145,13062;Eastern Metropolitan
2 Kinkora Ct;Mulgrave;18,8;-37,92285;145,18549;South-Eastern Metropolitan
25 Morawa Dr;Mulgrave;18,8;-37,928290000000004;145,19647;South-Eastern Metropolitan
75 Wattle Gr;Mulgrave;18,8;-37,93228;145,15827;South-Eastern Metropolitan
7 Lawrance St;Murrumbeena;10,1;;;Southern Metropolitan
5/20 Toward St;Murrumbeena;10,1;-37,8934;145,06975;Southern Metropolitan
102 Market St;Newport;6,2;-37,84769;144,87667;Western Metropolitan
8 Goble St;Niddrie;10,4;-37,73435;144,8768;Western Metropolitan
64 Muriel St;Niddrie;10,4;-37,74266;144,88577;Western Metropolitan
51 Dunblane Rd;Noble Park;22,7;-37,95898;145,18138000000002;South-Eastern Metropolitan
5 Himbeck Ct;Noble Park;22,7;-37,959309999999995;145,18443;South-Eastern Metropolitan
2/21 Marna Ct;Noble Park;22,7;-37,96903;145,18999;South-Eastern Metropolitan
371 Princes Hwy;Noble Park;22,7;-37,96318;145,18962;South-Eastern Metropolitan
306/64 MacAulay Rd;North Melbourne;1,8;-37,79831;144,94261;Northern Metropolitan
19 Charles St;Northcote;5,3;-37,776509999999995;144,99074;Northern Metropolitan
31 Gladstone Av;Northcote;5,3;-37,765879999999996;144,99731;Northern Metropolitan
304/481 High St;Northcote;5,3;-37,7662;144,99907;Northern Metropolitan
11/158 Separation St;Northcote;5,3;-37,77041;145,00711;Northern Metropolitan
101/231 St Georges St;Northcote;5,3;;;Northern Metropolitan
44 Golf Rd;Oakleigh South;15,5;-37,91917;145,08807;South-Eastern Metropolitan
1 Loxton Wy;Pakenham;47,3;-38,075829999999996;145,43698;Eastern Victoria
6/184 Princes Hwy;Pakenham;47,3;;;Eastern Victoria
7/184 Princes Hwy;Pakenham;47,3;;;Eastern Victoria
5/18 Lennon St;Parkville;1,8;-37,78638;144,9409;Northern Metropolitan
1/10 Arndt Rd;Pascoe Vale;8,5;-37,72085;144,9345;Northern Metropolitan
16/43 Arndt Rd;Pascoe Vale;8,5;-37,72136;144,92932;Northern Metropolitan
1A Braeside St;Pascoe Vale;8,5;-37,71865;144,95018000000002;Northern Metropolitan
